Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
1,0.00000,44,null,null,null,null,null,null,null,null,null,null,null,null
2,0.00320,182,null,null,null,null,null,null,null,null,null,null,null,null
3,0.00591,null,27,60,41509,42706,34475,17911,17124,13503,4591,830,0,null
4,0.00856,258,null,null,null,null,null,null,null,null,null,null,null,null
5,0.01157,240,null,null,null,null,null,null,null,null,null,null,null,null
6,0.01457,122,null,null,null,null,null,null,null,null,null,null,null,null
7,0.01657,-41,null,null,null,null,null,null,null,null,null,null,null,null
8,0.01957,-188,null,null,null,null,null,null,null,null,null,null,null,null
9,0.03401,-244,null,null,null,null,null,null,null,null,null,null,null,null
10,0.03704,-161,null,null,null,null,null,null,null,null,null,null,null,null
11,0.04026,57,null,null,null,null,null,null,null,null,null,null,null,null
12,0.04229,288,null,null,null,null,null,null,null,null,null,null,null,null
13,0.04535,345,null,null,null,null,null,null,null,null,null,null,null,null
14,0.04839,196,null,null,null,null,null,null,null,null,null,null,null,null
15,0.05044,-3,null,null,null,null,null,null,null,null,null,null,null,null
16,0.05354,-133,null,null,null,null,null,null,null,null,null,null,null,null
17,0.05659,-172,null,null,null,null,null,null,null,null,null,null,null,null
18,0.05863,-114,null,null,null,null,null,null,null,null,null,null,null,null
19,0.06168,49,null,null,null,null,null,null,null,null,null,null,null,null
20,0.06371,234,null,null,null,null,null,null,null,null,null,null,null,null
21,0.06674,331,null,null,null,null,null,null,null,null,null,null,null,null
22,0.06981,258,null,null,null,null,null,null,null,null,null,null,null,null
23,0.07234,100,null,null,null,null,null,null,null,null,null,null,null,null
24,0.07435,10,null,null,null,null,null,null,null,null,null,null,null,null
25,0.07763,7,null,null,null,null,null,null,null,null,null,null,null,null
26,0.08018,24,null,null,null,null,null,null,null,null,null,null,null,null
27,0.08176,81,null,null,null,null,null,null,null,null,null,null,null,null
28,0.08477,200,null,null,null,null,null,null,null,null,null,null,null,null
29,0.08677,306,null,null,null,null,null,null,null,null,null,null,null,null
30,0.08977,322,null,null,null,null,null,null,null,null,null,null,null,null
31,0.09177,237,null,null,null,null,null,null,null,null,null,null,null,null
32,0.09477,73,null,null,null,null,null,null,null,null,null,null,null,null
33,0.09677,-91,null,null,null,null,null,null,null,null,null,null,null,null
34,0.09932,-198,null,null,null,null,null,null,null,null,null,null,null,null
35,0.10234,-205,null,null,null,null,null,null,null,null,null,null,null,null
36,0.10434,-103,null,null,null,null,null,null,null,null,null,null,null,null
37,0.10634,69,null,null,null,null,null,null,null,null,null,null,null,null
38,0.10934,210,null,null,null,null,null,null,null,null,null,null,null,null
39,0.11134,234,null,null,null,null,null,null,null,null,null,null,null,null
40,0.11434,161,null,null,null,null,null,null,null,null,null,null,null,null
41,0.11633,56,null,null,null,null,null,null,null,null,null,null,null,null
42,0.11934,-23,null,null,null,null,null,null,null,null,null,null,null,null
43,0.12134,-43,null,null,null,null,null,null,null,null,null,null,null,null
44,0.12434,34,null,null,null,null,null,null,null,null,null,null,null,null
45,0.12634,172,null,null,null,null,null,null,null,null,null,null,null,null
46,0.12834,293,null,null,null,null,null,null,null,null,null,null,null,null
47,0.13134,324,null,null,null,null,null,null,null,null,null,null,null,null
48,0.13334,249,null,null,null,null,null,null,null,null,null,null,null,null
49,0.13634,97,null,null,null,null,null,null,null,null,null,null,null,null
50,0.13834,-60,null,null,null,null,null,null,null,null,null,null,null,null
51,0.14034,-121,null,null,null,null,null,null,null,null,null,null,null,null
52,0.14334,-58,null,null,null,null,null,null,null,null,null,null,null,null
53,0.14533,90,null,null,null,null,null,null,null,null,null,null,null,null
54,0.14834,251,null,null,null,null,null,null,null,null,null,null,null,null
55,0.15034,328,null,null,null,null,null,null,null,null,null,null,null,null
56,0.15334,298,null,null,null,null,null,null,null,null,null,null,null,null
57,0.15534,196,null,null,null,null,null,null,null,null,null,null,null,null
58,0.15734,64,null,null,null,null,null,null,null,null,null,null,null,null
59,0.16035,-57,null,null,null,null,null,null,null,null,null,null,null,null
60,0.16235,-130,null,null,null,null,null,null,null,null,null,null,null,null
61,0.16534,-103,null,null,null,null,null,null,null,null,null,null,null,null
62,0.16734,18,null,null,null,null,null,null,null,null,null,null,null,null
63,0.17034,162,null,null,null,null,null,null,null,null,null,null,null,null
64,0.17285,210,null,null,null,null,null,null,null,null,null,null,null,null
65,0.17485,130,null,null,null,null,null,null,null,null,null,null,null,null
66,0.17786,42,null,null,null,null,null,null,null,null,null,null,null,null
67,0.17990,16,null,null,null,null,null,null,null,null,null,null,null,null
68,0.18290,-1,null,null,null,null,null,null,null,null,null,null,null,null
69,0.18490,-7,null,null,null,null,null,null,null,null,null,null,null,null
70,0.18791,51,null,null,null,null,null,null,null,null,null,null,null,null
71,0.19093,163,null,null,null,null,null,null,null,null,null,null,null,null
72,0.19385,263,null,null,null,null,null,null,null,null,null,null,null,null
73,0.19586,284,null,null,null,null,null,null,null,null,null,null,null,null
74,0.19886,219,null,null,null,null,null,null,null,null,null,null,null,null
75,0.20186,97,null,null,null,null,null,null,null,null,null,null,null,null
76,0.20486,-27,null,null,null,null,null,null,null,null,null,null,null,null
77,0.20687,-88,null,null,null,null,null,null,null,null,null,null,null,null
78,0.20985,-39,null,null,null,null,null,null,null,null,null,null,null,null
79,0.21285,116,null,null,null,null,null,null,null,null,null,null,null,null
80,0.21485,267,null,null,null,null,null,null,null,null,null,null,null,null
81,0.21786,310,null,null,null,null,null,null,null,null,null,null,null,null
82,0.22086,248,null,null,null,null,null,null,null,null,null,null,null,null
83,0.22286,134,null,null,null,null,null,null,null,null,null,null,null,null
84,0.22585,23,null,null,null,null,null,null,null,null,null,null,null,null
85,0.22885,-56,null,null,null,null,null,null,null,null,null,null,null,null
86,0.23186,-91,null,null,null,null,null,null,null,null,null,null,null,null
87,0.23386,-35,null,null,null,null,null,null,null,null,null,null,null,null
88,0.23686,99,null,null,null,null,null,null,null,null,null,null,null,null
89,0.24285,211,null,null,null,null,null,null,null,null,null,null,null,null
90,0.24685,247,null,null,null,null,null,null,null,null,null,null,null,null
91,0.24885,214,null,null,null,null,null,null,null,null,null,null,null,null
92,0.25185,131,null,null,null,null,null,null,null,null,null,null,null,null
93,0.25486,16,null,null,null,null,null,null,null,null,null,null,null,null
94,0.25786,-77,null,null,null,null,null,null,null,null,null,null,null,null
95,0.26086,-103,null,null,null,null,null,null,null,null,null,null,null,null
96,0.26386,-29,null,null,null,null,null,null,null,null,null,null,null,null
97,0.26586,128,null,null,null,null,null,null,null,null,null,null,null,null
98,0.26886,246,null,null,null,null,null,null,null,null,null,null,null,null
99,0.27086,251,null,null,null,null,null,null,null,null,null,null,null,null
100,0.27438,140,null,null,null,null,null,null,null,null,null,null,null,null
101,0.27738,-24,null,null,null,null,null,null,null,null,null,null,null,null
102,0.27938,-139,null,null,null,null,null,null,null,null,null,null,null,null
103,0.28238,-153,null,null,null,null,null,null,null,null,null,null,null,null
104,0.28538,-60,null,null,null,null,null,null,null,null,null,null,null,null
105,0.28738,87,null,null,null,null,null,null,null,null,null,null,null,null
106,0.29038,196,null,null,null,null,null,null,null,null,null,null,null,null
107,0.29338,209,null,null,null,null,null,null,null,null,null,null,null,null
108,0.29538,121,null,null,null,null,null,null,null,null,null,null,null,null
109,0.29838,-42,null,null,null,null,null,null,null,null,null,null,null,null
110,0.30138,-193,null,null,null,null,null,null,null,null,null,null,null,null
111,0.30338,-264,null,null,null,null,null,null,null,null,null,null,null,null
112,0.30638,-211,null,null,null,null,null,null,null,null,null,null,null,null
113,0.30938,-50,null,null,null,null,null,null,null,null,null,null,null,null
114,0.31138,133,null,null,null,null,null,null,null,null,null,null,null,null
115,0.31438,242,null,null,null,null,null,null,null,null,null,null,null,null
116,0.31638,232,null,null,null,null,null,null,null,null,null,null,null,null
117,0.31938,138,null,null,null,null,null,null,null,null,null,null,null,null
118,0.32238,7,null,null,null,null,null,null,null,null,null,null,null,null
119,0.32438,-92,null,null,null,null,null,null,null,null,null,null,null,null
120,0.32638,-124,null,null,null,null,null,null,null,null,null,null,null,null
121,0.32938,-71,null,null,null,null,null,null,null,null,null,null,null,null
122,0.33138,60,null,null,null,null,null,null,null,null,null,null,null,null
123,0.33438,187,null,null,null,null,null,null,null,null,null,null,null,null
124,0.33639,219,null,null,null,null,null,null,null,null,null,null,null,null
125,0.33938,122,null,null,null,null,null,null,null,null,null,null,null,null
126,0.34138,-91,null,null,null,null,null,null,null,null,null,null,null,null
127,0.34438,-294,null,null,null,null,null,null,null,null,null,null,null,null
128,0.34638,-342,null,null,null,null,null,null,null,null,null,null,null,null
129,0.34838,-249,null,null,null,null,null,null,null,null,null,null,null,null
130,0.35138,-81,null,null,null,null,null,null,null,null,null,null,null,null
131,0.35338,84,null,null,null,null,null,null,null,null,null,null,null,null
132,0.35638,177,null,null,null,null,null,null,null,null,null,null,null,null
133,0.35839,181,null,null,null,null,null,null,null,null,null,null,null,null
134,0.36039,99,null,null,null,null,null,null,null,null,null,null,null,null
135,0.36339,-20,null,null,null,null,null,null,null,null,null,null,null,null
136,0.36539,-120,null,null,null,null,null,null,null,null,null,null,null,null
137,0.36839,-177,null,null,null,null,null,null,null,null,null,null,null,null
138,0.37039,-126,null,null,null,null,null,null,null,null,null,null,null,null
139,0.37290,40,null,null,null,null,null,null,null,null,null,null,null,null
140,0.37491,236,null,null,null,null,null,null,null,null,null,null,null,null
141,0.37691,311,null,null,null,null,null,null,null,null,null,null,null,null
142,0.37991,204,null,null,null,null,null,null,null,null,null,null,null,null
143,0.39293,-1,null,null,null,null,null,null,null,null,null,null,null,null
144,0.39493,-172,null,null,null,null,null,null,null,null,null,null,null,null
145,0.39793,-259,null,null,null,null,null,null,null,null,null,null,null,null
146,0.40093,-293,null,null,null,null,null,null,null,null,null,null,null,null
147,0.40293,-201,null,null,null,null,null,null,null,null,null,null,null,null
148,0.40493,34,null,null,null,null,null,null,null,null,null,null,null,null
149,0.40794,278,null,null,null,null,null,null,null,null,null,null,null,null
150,0.41093,340,null,null,null,null,null,null,null,null,null,null,null,null
151,0.41293,184,null,null,null,null,null,null,null,null,null,null,null,null
152,0.41593,-44,null,null,null,null,null,null,null,null,null,null,null,null
153,0.41893,-189,null,null,null,null,null,null,null,null,null,null,null,null
154,0.42093,-187,null,null,null,null,null,null,null,null,null,null,null,null
155,0.42393,-72,null,null,null,null,null,null,null,null,null,null,null,null
156,0.42693,107,null,null,null,null,null,null,null,null,null,null,null,null
157,0.42993,250,null,null,null,null,null,null,null,null,null,null,null,null
158,0.43193,264,null,null,null,null,null,null,null,null,null,null,null,null
159,0.43493,176,null,null,null,null,null,null,null,null,null,null,null,null
160,0.43693,45,null,null,null,null,null,null,null,null,null,null,null,null
161,0.43993,-75,null,null,null,null,null,null,null,null,null,null,null,null
162,0.44293,-197,null,null,null,null,null,null,null,null,null,null,null,null
163,0.44593,-282,null,null,null,null,null,null,null,null,null,null,null,null
164,0.44893,-238,null,null,null,null,null,null,null,null,null,null,null,null
165,0.45093,-43,null,null,null,null,null,null,null,null,null,null,null,null
166,0.45393,148,null,null,null,null,null,null,null,null,null,null,null,null
167,0.45593,229,null,null,null,null,null,null,null,null,null,null,null,null
168,0.45894,183,null,null,null,null,null,null,null,null,null,null,null,null
169,0.46194,36,null,null,null,null,null,null,null,null,null,null,null,null
170,0.46494,-120,null,null,null,null,null,null,null,null,null,null,null,null
171,0.46694,-194,null,null,null,null,null,null,null,null,null,null,null,null
172,0.46994,-145,null,null,null,null,null,null,null,null,null,null,null,null
173,0.47245,10,null,null,null,null,null,null,null,null,null,null,null,null
174,0.47545,231,null,null,null,null,null,null,null,null,null,null,null,null
175,0.47845,403,null,null,null,null,null,null,null,null,null,null,null,null
176,0.48145,422,null,null,null,null,null,null,null,null,null,null,null,null
177,0.48345,277,null,null,null,null,null,null,null,null,null,null,null,null
178,0.48645,57,null,null,null,null,null,null,null,null,null,null,null,null
179,0.48845,-141,null,null,null,null,null,null,null,null,null,null,null,null
180,0.49146,-282,null,null,null,null,null,null,null,null,null,null,null,null
181,0.49445,-266,null,null,null,null,null,null,null,null,null,null,null,null
182,0.49745,-77,null,null,null,null,null,null,null,null,null,null,null,null
183,0.49945,134,null,null,null,null,null,null,null,null,null,null,null,null
184,0.50245,204,null,null,null,null,null,null,null,null,null,null,null,null
185,0.50445,120,null,null,null,null,null,null,null,null,null,null,null,null
186,0.50745,-34,null,null,null,null,null,null,null,null,null,null,null,null
187,0.51045,-153,null,null,null,null,null,null,null,null,null,null,null,null
188,0.51245,-170,null,null,null,null,null,null,null,null,null,null,null,null
189,0.51545,-85,null,null,null,null,null,null,null,null,null,null,null,null
190,0.51745,68,null,null,null,null,null,null,null,null,null,null,null,null
191,0.52045,245,null,null,null,null,null,null,null,null,null,null,null,null
192,0.52245,341,null,null,null,null,null,null,null,null,null,null,null,null
193,0.52545,300,null,null,null,null,null,null,null,null,null,null,null,null
194,0.52845,144,null,null,null,null,null,null,null,null,null,null,null,null
195,0.53045,-66,null,null,null,null,null,null,null,null,null,null,null,null
196,0.53245,-261,null,null,null,null,null,null,null,null,null,null,null,null
197,0.53545,-353,null,null,null,null,null,null,null,null,null,null,null,null
198,0.53745,-289,null,null,null,null,null,null,null,null,null,null,null,null
199,0.54045,-97,null,null,null,null,null,null,null,null,null,null,null,null
200,0.54246,70,null,null,null,null,null,null,null,null,null,null,null,null
201,0.54545,90,null,null,null,null,null,null,null,null,null,null,null,null
202,0.54745,34,null,null,null,null,null,null,null,null,null,null,null,null
203,0.55045,-21,null,null,null,null,null,null,null,null,null,null,null,null
204,0.55245,-71,null,null,null,null,null,null,null,null,null,null,null,null
205,0.55545,-120,null,null,null,null,null,null,null,null,null,null,null,null
206,0.55745,-123,null,null,null,null,null,null,null,null,null,null,null,null
207,0.55947,-8,null,null,null,null,null,null,null,null,null,null,null,null
208,0.56246,197,null,null,null,null,null,null,null,null,null,null,null,null
